Shop Name,Shop Type,Purchases,Impressions,Spend,CPA,ROAS,AOV,Outbound Clicks,CTR,CPC,CPM,Shop Views (Impressions),In-Shop Transactions,Conversion Rate,GMV,Revenue,AOV
Shop Our Best Sellers,Video,3,"2,553",$42.53,$14.18,2.53,$35.80,28,2.70%,$0.62,$16.66,28,2,7.14%,$66.00,$59.40,$33.00
Hero Bread Best Sellers,Grid,212,"295,125","$4,490.47",$21.18,1.99,$42.06,"3,084",2.21%,$0.69,$15.22,"2,784",74,2.66%,"$3,228.00","$2,925.30",$43.62
Stacie's Hero Bread Picks,Video,12,"14,058",$367.93,$30.66,1.86,$57.10,235,2.20%,$1.19,$26.17,214,4,1.87%,$156.00,$146.10,$39.00
Erin's Favorites from Hero,Video,37,"50,978",$989.52,$26.74,1.73,$46.22,690,3.57%,$0.54,$19.41,573,5,0.87%,$265.00,$265.00,$53.00
Gigi's Top Hero Picks,Video,33,"46,565",$898.32,$27.22,1.7,$46.23,418,1.90%,$1.02,$19.29,335,10,2.99%,$458.00,$438.70,$45.80
Michelle's Favorites from Hero,Grid,74,"100,589","$1,921.82",$25.97,1.69,$43.86,"1,188",2.49%,$0.77,$19.11,"1,030",29,2.82%,"$1,144.00","$1,036.20",$39.45
My Top Hero Bread Picks!,Grid,58,"62,512","$1,365.59",$23.54,1.66,$38.99,980,2.92%,$0.75,$21.85,841,32,3.80%,"$1,225.00","$1,102.50",$38.28
Must Haves for Hero Bread,Video,35,"47,207",$986.56,$28.19,1.59,$44.81,883,4.18%,$0.50,$20.90,783,19,2.43%,$738.00,$672.30,$38.84
Chris's Top Hero Picks,Video,21,"39,637",$847.78,$40.37,1.26,$51.02,389,2.77%,$0.77,$21.39,284,5,1.76%,$281.00,$281.00,$56.20
Nicole's Favorites from Hero,Grid,8,"13,580",$340.21,$42.53,1.06,$44.88,166,2.61%,$0.96,$25.05,125,1,0.80%,$61.00,$54.90,$61.00
Naya's Top Hero Picks,Video,8,"14,854",$340.71,$42.59,1.05,$44.88,126,2.08%,$1.10,$22.94,93,3,3.23%,$130.00,$130.00,$43.33
Wafa's Top Picks,Video,8,"17,004",$343.19,$42.90,1.02,$43.90,200,3.13%,$0.64,$20.18,156,3,1.92%,$142.00,$142.00,$47.33
